book_id,work_id,books_count,isbn13,authors,original_publication_year,title,language_code,average_rating,ratings_count,text_reviews_count,image_url
1,2792775,272,9780439023480,Suzanne Collins,2008,The Hunger Games,eng,4.34,4942365,155254,https://images.gr-assets.com/books/1447303603m/2767052.jpg
6,16827462,226,9780525478810,John Green,2012,The Fault in Our Stars,eng,4.26,2478609,140739,https://images.gr-assets.com/books/1360206420m/11870085.jpg
30,13306276,196,9780297859380,Gillian Flynn,2012,Gone Girl,eng,4.03,1626519,121614,https://images.gr-assets.com/books/1339602131m/8442457.jpg
12,13155899,210,9780062024040,Veronica Roth,2011,Divergent,eng,4.24,2216814,101023,https://images.gr-assets.com/books/1328559506m/13335037.jpg
20,8812783,239,9780439023510,Suzanne Collins,2010,Mockingjay,eng,4.03,1870748,96274,https://images.gr-assets.com/books/1358275419m/7260188.jpg
3,3212258,226,9780316015840,Stephenie Meyer,2005,Twilight,en-US,3.57,3916824,95009,https://images.gr-assets.com/books/1361039443m/41865.jpg
47,878368,251,9780375831000,Markus Zusak,2005,The Book Thief,eng,4.36,1287798,93611,https://images.gr-assets.com/books/1390053681m/19063.jpg
61,41107568,14,9781594633670,Paula Hawkins,2015,The Girl on the Train,eng,3.88,1226485,93600,https://images.gr-assets.com/books/1490903702m/22557272.jpg
17,6171458,201,9780439023500,Suzanne Collins,2009,Catching Fire,eng,4.30,1988079,88538,https://images.gr-assets.com/books/1358273780m/6148028.jpg
31,4717423,183,9780399155340,Kathryn Stockett,2009,The Help,eng,4.45,1603545,78204,https://images.gr-assets.com/books/1346100365m/4667024.jpg
2,4640799,491,9780439554930,J.K. Rowling - Mary GrandPr�,1997,Harry Potter and the Philosopher's Stone,eng,4.44,4800065,75867,https://images.gr-assets.com/books/1474154022m/3.jpg
34,15732562,169,9781612130290,E.L. James,2011,Fifty Shades of Grey,eng,3.67,1436818,75437,https://images.gr-assets.com/books/1385207843m/10818853.jpg
